기간,구분,일반가구수,1인,2인,3인,4인,5인,6인,7인 이상,평균가구원수
2017,종로구,"62,372","23,638","15,697","11,268","8,636","2,351",601,181,2.2
2017,중구,"52,208","20,164","13,623","9,498","6,696","1,660",445,122,2.2
2017,용산구,"91,102","33,076","24,058","17,316","12,585","3,154",724,189,2.2
2017,성동구,"120,957","39,067","30,728","25,452","19,855","4,437","1,115",303,2.4
2017,광진구,"147,846","54,866","34,309","28,746","23,244","5,191","1,151",339,2.3
2017,동대문구,"145,294","54,030","34,391","27,589","21,820","5,617","1,458",389,2.3
2017,중랑구,"159,035","47,543","42,102","34,301","26,685","6,603","1,402",399,2.4
2017,성북구,"172,973","54,243","41,856","36,766","30,370","7,383","1,839",516,2.4
2017,강북구,"127,281","39,082","34,386","27,070","20,164","5,059","1,202",318,2.4
2017,도봉구,"125,974","29,469","34,622","30,336","24,408","5,554","1,222",363,2.6
2017,노원구,"202,955","49,265","50,990","48,297","43,178","9,065","1,759",401,2.6
2017,은평구,"179,641","46,535","49,163","41,144","32,289","8,115","1,857",538,2.5
2017,서대문구,"126,672","43,418","31,366","25,369","20,065","4,941","1,161",352,2.3
2017,마포구,"152,814","54,162","38,271","29,979","23,392","5,516","1,167",327,2.3
2017,양천구,"162,045","33,088","39,456","41,391","37,771","8,261","1,660",418,2.7
2017,강서구,"231,739","68,237","59,781","50,963","40,778","9,470","1,974",536,2.4
2017,구로구,"156,110","42,984","40,714","34,809","28,676","6,884","1,586",457,2.5
2017,금천구,"95,331","32,928","23,735","19,236","14,787","3,595",819,231,2.3
2017,영등포구,"147,559","51,151","36,710","30,068","22,879","5,277","1,172",302,2.3
2017,동작구,"160,062","54,355","38,981","32,470","26,368","6,126","1,402",360,2.4
2017,관악구,"232,212","106,865","53,069","36,587","27,139","6,515","1,584",453,2.1
2017,서초구,"155,513","39,702","38,291","35,950","31,968","7,412","1,685",505,2.6
2017,강남구,"207,369","62,774","50,634","44,795","38,367","8,529","1,770",500,2.5
2017,송파구,"237,516","58,848","59,153","56,774","49,044","10,760","2,333",604,2.6
2017,강동구,"160,680","41,050","40,892","37,455","31,756","7,517","1,561",449,2.6
2018,종로구,"63,773","25,326","15,957","11,241","8,286","2,228",573,162,2.2
2018,중구,"53,102","20,803","14,101","9,601","6,463","1,591",433,110,2.2
2018,용산구,"92,500","34,240","24,574","17,717","12,098","3,019",681,171,2.2
2018,성동구,"123,963","40,706","32,135","26,002","19,548","4,273","1,035",264,2.3
2018,광진구,"148,735","56,337","35,093","28,596","22,354","4,947","1,079",329,2.3
2018,동대문구,"146,974","55,593","35,628","27,612","21,139","5,341","1,321",340,2.3
2018,중랑구,"159,444","49,207","42,934","34,055","25,381","6,159","1,353",355,2.4
2018,성북구,"171,943","55,136","42,140","36,301","29,176","7,067","1,665",458,2.4
2018,강북구,"127,551","40,872","34,781","26,543","19,222","4,748","1,077",308,2.3
2018,도봉구,"126,286","30,848","35,343","30,077","23,237","5,292","1,146",343,2.5
2018,노원구,"202,326","51,280","51,939","47,672","40,995","8,517","1,542",381,2.6
2018,은평구,"181,338","48,888","50,617","40,750","31,086","7,833","1,682",482,2.5
2018,서대문구,"127,197","44,795","31,734","25,206","19,423","4,641","1,082",316,2.3
2018,마포구,"154,940","56,837","38,861","29,938","22,671","5,233","1,108",292,2.3
2018,양천구,"162,039","34,304","40,185","41,534","36,359","7,768","1,502",387,2.7
2018,강서구,"235,754","73,011","62,155","50,204","39,017","9,061","1,807",499,2.4
2018,구로구,"156,235","44,151","41,836","34,633","27,310","6,479","1,425",401,2.5
2018,금천구,"96,298","34,564","24,305","18,948","14,102","3,388",769,222,2.3
2018,영등포구,"149,831","53,477","37,774","29,904","22,271","5,038","1,086",281,2.3
2018,동작구,"161,495","56,872","39,300","32,597","25,296","5,811","1,277",342,2.3
2018,관악구,"236,761","112,733","54,106","35,925","25,997","6,172","1,451",377,2.0
2018,서초구,"155,418","41,137","38,475","35,620","31,029","7,112","1,598",447,2.6
2018,강남구,"203,083","62,727","50,076","43,542","36,572","8,063","1,664",439,2.4
2018,송파구,"243,547","63,451","61,970","56,824","48,156","10,366","2,235",545,2.5
2018,강동구,"159,233","42,126","41,450","36,503","30,197","7,084","1,468",405,2.5
2019,종로구,"62,652","24,671","16,208","11,154","7,828","2,143",505,143,2.2
2019,중구,"54,496","22,078","14,578","9,540","6,292","1,533",373,102,2.1
2019,용산구,"93,177","35,148","25,164","17,439","11,736","2,907",612,171,2.2
2019,성동구,"122,770","41,488","32,125","25,634","18,379","4,014",877,253,2.3
2019,광진구,"149,905","58,714","35,678","28,054","21,454","4,711","1,006",288,2.2
2019,동대문구,"148,349","58,152","36,060","27,436","20,168","4,988","1,204",341,2.2
2019,중랑구,"160,776","52,196","44,057","33,160","24,003","5,766","1,251",343,2.3
2019,성북구,"176,729","57,832","44,443","37,033","28,861","6,718","1,446",396,2.4
2019,강북구,"128,012","42,791","35,439","25,967","18,104","4,465",981,265,2.3
2019,도봉구,"126,831","32,653","36,329","29,580","22,061","4,901","1,014",293,2.5
2019,노원구,"201,458","53,365","52,832","46,783","38,952","7,772","1,447",307,2.5
2019,은평구,"184,890","52,814","52,257","40,789","29,700","7,303","1,604",423,2.4
2019,서대문구,"128,635","46,449","32,581","25,283","18,696","4,376",976,274,2.3
2019,마포구,"156,885","59,248","39,471","29,985","21,930","4,962","1,014",275,2.2
2019,양천구,"162,867","36,345","41,435","40,897","35,189","7,272","1,393",336,2.6
2019,강서구,"240,135","79,371","63,517","49,322","37,325","8,458","1,707",435,2.3
2019,구로구,"160,378","47,740","43,700","34,624","26,459","6,214","1,261",380,2.4
2019,금천구,"99,315","37,778","25,207","18,771","13,535","3,131",708,185,2.2
2019,영등포구,"153,923","58,214","38,671","29,661","21,503","4,597","1,032",245,2.2
2019,동작구,"164,963","60,088","40,739","32,514","24,570","5,564","1,204",284,2.3
2019,관악구,"242,154","119,863","55,423","34,875","24,563","5,806","1,283",341,2.0
2019,서초구,"155,377","42,667","38,892","35,327","29,850","6,704","1,503",434,2.5
2019,강남구,"206,524","66,073","51,560","43,435","35,800","7,671","1,564",421,2.4
2019,송파구,"252,212","68,861","65,402","57,821","47,607","10,014","2,038",469,2.5
2019,강동구,"162,976","45,188","43,297","36,735","29,461","6,606","1,333",356,2.5
